Num_Acc,adr,codeinsee,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
201500013565,ITALIE (RUE D'),13055,43.2804,5.3806,Marseille,0.08,city,13055,,Marseille,,13000,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte-d'Azur",13055
201500013565,ITALIE (RUE D'),13055,43.2804,5.3806,Marseille,0.08,city,13055,,Marseille,,13000,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte-d'Azur",13055
201500013574,SAINT PIERRE (RUE),13055,,,,,,,,,,,,,
201500013574,SAINT PIERRE (RUE),13055,,,,,,,,,,,,,
201500013584,PEINTRES*ROUX (AVENUE DE,13055,,,,,,,,,,,,,
201500013584,PEINTRES*ROUX (AVENUE DE,13055,,,,,,,,,,,,,
201500013623,"10, MENDES FRANCE (AVENU",13055,,,,,,,,,,,,,
201500013623,"10, MENDES FRANCE (AVENU",13055,,,,,,,,,,,,,
201500013630,"01, PCE DU DOCTEUR VAUTH",13055,,,,,,,,,,,,,
201500013630,"01, PCE DU DOCTEUR VAUTH",13055,,,,,,,,,,,,,
201500013631,"00, CV DE LA MILLIERE A",13055,,,,,,,,,,,,,
201500013631,"00, CV DE LA MILLIERE A",13055,,,,,,,,,,,,,
201500013641,AVE RAIMU,13055,,,,,,,,,,,,,
201500013643,"0, CHEMIN DU LITTORAL (C",13055,,,,,,,,,,,,,
201500013643,"0, CHEMIN DU LITTORAL (C",13055,,,,,,,,,,,,,
201500013643,"0, CHEMIN DU LITTORAL (C",13055,,,,,,,,,,,,,
201500013647,ALEX. FLEMING (BOULEVARD,13055,,,,,,,,,,,,,
201500013647,ALEX. FLEMING (BOULEVARD,13055,,,,,,,,,,,,,
201500013650,"0, BD D ATHENES",13055,,,,,,,,,,,,,
201500013663,"330, SAINTE MARGUERITE (",13055,,,,,,,,,,,,,
201500013663,"330, SAINTE MARGUERITE (",13055,,,,,,,,,,,,,
201500013663,"330, SAINTE MARGUERITE (",13055,,,,,,,,,,,,,
201500013663,"330, SAINTE MARGUERITE (",13055,,,,,,,,,,,,,
201500013671,ALBERT MARQUET (RUE),13055,,,,,,,,,,,,,
201500013671,ALBERT MARQUET (RUE),13055,,,,,,,,,,,,,
201500013674,RTE LEON LACHAMP,13055,,,,,,,,,,,,,
201500013674,RTE LEON LACHAMP,13055,,,,,,,,,,,,,
201500013683,"00, ROVE (ROUTE DU)",13055,,,,,,,,,,,,,
201500013683,"00, ROVE (ROUTE DU)",13055,,,,,,,,,,,,,
201500013685,MENDES FRANCE (AVENUE),13055,,,,,,,,,,,,,
201500013685,MENDES FRANCE (AVENUE),13055,,,,,,,,,,,,,
201500013704,JEAN PAUL SARTRE (AVENUE,13055,,,,,,,,,,,,,
201500013704,JEAN PAUL SARTRE (AVENUE,13055,,,,,,,,,,,,,
201500013704,JEAN PAUL SARTRE (AVENUE,13055,,,,,,,,,,,,,
201500013707,L?ON LACHAMP (ROUTE),13055,,,,,,,,,,,,,
201500013709,ARNAVAUX (AVENUE DES),13055,,,,,,,,,,,,,
201500013709,ARNAVAUX (AVENUE DES),13055,,,,,,,,,,,,,
201500013710,"130, AVE JEAN PAUL SARTR",13055,,,,,,,,,,,,,
201500013714,LAZARET (QUAI DU),13055,,,,,,,,,,,,,
201500013719,LYON (RUE DE),13055,,,,,,,,,,,,,
201500013730,LITTORAL (CHEMIN DU),13055,,,,,,,,,,,,,
201500013730,LITTORAL (CHEMIN DU),13055,,,,,,,,,,,,,
201500013735,"167, ROVE (ROUTE DU)",13055,,,,,,,,,,,,,
201500013735,"167, ROVE (ROUTE DU)",13055,,,,,,,,,,,,,
201500013735,"167, ROVE (ROUTE DU)",13055,,,,,,,,,,,,,
201500013737,"3 virages, RTE LEON LACH",13055,,,,,,,,,,,,,
201500013737,"3 virages, RTE LEON LACH",13055,,,,,,,,,,,,,
201500013743,MALLONIERS (AVENUE),13055,,,,,,,,,,,,,
201500013743,MALLONIERS (AVENUE),13055,,,,,,,,,,,,,
201500013743,MALLONIERS (AVENUE),13055,,,,,,,,,,,,,
201500013747,JEAN PAUL SARTRE (AVENUE,13055,,,,,,,,,,,,,
201500013747,JEAN PAUL SARTRE (AVENUE,13055,,,,,,,,,,,,,
201500013747,JEAN PAUL SARTRE (AVENUE,13055,,,,,,,,,,,,,
201500013753,"0, RAYMOND TEISSERE (RUE",13055,,,,,,,,,,,,,
201500013755,LEDRU ROLLI (BOULEVARD),13055,,,,,,,,,,,,,
201500013755,LEDRU ROLLI (BOULEVARD),13055,,,,,,,,,,,,,
201500013759,"00, PLOMBIERES (BOULEVAR",13055,,,,,,,,,,,,,
201500013759,"00, PLOMBIERES (BOULEVAR",13055,,,,,,,,,,,,,
201500013759,"00, PLOMBIERES (BOULEVAR",13055,,,,,,,,,,,,,
201500013759,"00, PLOMBIERES (BOULEVAR",13055,,,,,,,,,,,,,
201500013768,"126, ADRIEN LEGROS (ROND",13055,,,,,,,,,,,,,
201500013768,"126, ADRIEN LEGROS (ROND",13055,,,,,,,,,,,,,
201500013768,"126, ADRIEN LEGROS (ROND",13055,,,,,,,,,,,,,
201500013771,"00, BD CHARLES LIVON",13055,,,,,,,,,,,,,
201500013771,"00, BD CHARLES LIVON",13055,,,,,,,,,,,,,
201500013773,VISTE (AVENUE DE LA),13055,,,,,,,,,,,,,
201500013773,VISTE (AVENUE DE LA),13055,,,,,,,,,,,,,
201500013773,VISTE (AVENUE DE LA),13055,,,,,,,,,,,,,
201500013776,MICHELET (BOULEVARD),13055,,,,,,,,,,,,,
201500013777,"00., MICHELET (BOULEVARD",13055,,,,,,,,,,,,,
201500013787,"00, CHE DE LA PARETTE",13055,,,,,,,,,,,,,
201500013787,"00, CHE DE LA PARETTE",13055,,,,,,,,,,,,,
201500013787,"00, CHE DE LA PARETTE",13055,,,,,,,,,,,,,
201500013820,"00, BD SAKAKINI",13055,,,,,,,,,,,,,
201500013820,"00, BD SAKAKINI",13055,,,,,,,,,,,,,
201500013824,RAM SAINT MAURICE,13055,,,,,,,,,,,,,
201500013830,"00, BD CHARLES LIVON",13055,,,,,,,,,,,,,
201500013843,AVE SALVADOR ALLENDE,13055,,,,,,,,,,,,,
201500013849,RUE LE CHATELIER,13055,,,,,,,,,,,,,
201500013849,RUE LE CHATELIER,13055,,,,,,,,,,,,,
201500013849,RUE LE CHATELIER,13055,,,,,,,,,,,,,
201500013858,"00, BD DE LA POMME",13055,,,,,,,,,,,,,
201500013858,"00, BD DE LA POMME",13055,,,,,,,,,,,,,
201500013862,"00, BD DE PONT DE VIVAUX",13055,,,,,,,,,,,,,
201500013869,BIR HAKEIM (RUE),13055,,,,,,,,,,,,,
201500013869,BIR HAKEIM (RUE),13055,,,,,,,,,,,,,
201500013882,SCHLOESING (BOULEVARD),13055,,,,,,,,,,,,,
201500013882,SCHLOESING (BOULEVARD),13055,,,,,,,,,,,,,
201500013883,"9, GASTON RAMON (BOULEVA",13055,,,,,,,,,,,,,
201500013883,"9, GASTON RAMON (BOULEVA",13055,,,,,,,,,,,,,
201500013883,"9, GASTON RAMON (BOULEVA",13055,,,,,,,,,,,,,
201500013885,AVE SALVADOR ALLENDE,13055,,,,,,,,,,,,,
201500013889,"0, RUE AVIATEUR LE BRIX",13055,,,,,,,,,,,,,
201500013901,"00, CORDERIE (BOULEVARD",13055,,,,,,,,,,,,,
201500013901,"00, CORDERIE (BOULEVARD",13055,,,,,,,,,,,,,
201500013913,STRASBOURG (BOULEVARD),13055,,,,,,,,,,,,,
201500013913,STRASBOURG (BOULEVARD),13055,,,,,,,,,,,,,
201500013914,"00, CHE DE LA COLLINE SA",13055,,,,,,,,,,,,,
201500013921,RUE LOUIS REGIS,13055,,,,,,,,,,,,,
201500013921,RUE LOUIS REGIS,13055,,,,,,,,,,,,,
201500013921,RUE LOUIS REGIS,13055,,,,,,,,,,,,,
201500013921,RUE LOUIS REGIS,13055,,,,,,,,,,,,,
201500013922,"00, NOTRE DAME (BOULEVAR",13055,,,,,,,,,,,,,
201500013922,"00, NOTRE DAME (BOULEVAR",13055,,,,,,,,,,,,,
201500013923,"00, AVE DE LA VISTE",13055,,,,,,,,,,,,,
201500013923,"00, AVE DE LA VISTE",13055,,,,,,,,,,,,,
201500013934,HENRI BEYLE (RUE),13055,,,,,,,,,,,,,
201500013934,HENRI BEYLE (RUE),13055,,,,,,,,,,,,,
201500013934,HENRI BEYLE (RUE),13055,,,,,,,,,,,,,
201500013937,"4, ARENC (QUAI D')",13055,,,,,,,,,,,,,
201500013937,"4, ARENC (QUAI D')",13055,,,,,,,,,,,,,
201500013938,"00, BD ROLAND DORGELES",13055,,,,,,,,,,,,,
201500013942,"01, RUE JACQUES PICON",13055,,,,,,,,,,,,,
201500013951,"1, PLOMBIERES (BOULEVARD",13055,,,,,,,,,,,,,
201500013951,"1, PLOMBIERES (BOULEVARD",13055,,,,,,,,,,,,,
201500013951,"1, PLOMBIERES (BOULEVARD",13055,,,,,,,,,,,,,
201500013953,LOUIS MALOSSE (AVENUE),13055,,,,,,,,,,,,,
201500013953,LOUIS MALOSSE (AVENUE),13055,,,,,,,,,,,,,
201500013954,POMME (BOULEVARD DE LA ),13055,,,,,,,,,,,,,
201500013968,"00, AVE DES OLIVES",13055,,,,,,,,,,,,,
201500013968,"00, AVE DES OLIVES",13055,,,,,,,,,,,,,
201500013969,"00, BD NATIONAL",13055,,,,,,,,,,,,,
201500013981,LE CHATELIER,13055,,,,,,,,,,,,,
201500013981,LE CHATELIER,13055,,,,,,,,,,,,,
201500013987,"191, BD DE LA VALBARELLE",13055,,,,,,,,,,,,,
201500013987,"191, BD DE LA VALBARELLE",13055,,,,,,,,,,,,,
201500013987,"191, BD DE LA VALBARELLE",13055,,,,,,,,,,,,,
